what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1334034347387
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1334034348715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034349557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034350106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034351255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034354193
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1334034354246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034362382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034398183
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1334034399446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034405285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034511012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034514251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1334034514287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334034548326
